REM, GAME: 犬夜叉(GBA) AGB-AIYJ
START,000AAF60
END, 0011747F
00,(0)
01,[SEQ]
02,[SEQ]
03,[SEQ]
04,[SEQ]
05,[SEQ]
06,[SEQ]
REM,7～Fはゲーム中だと全角スペース
07,(7)
08,(8)
09,(9)
0A,(A)
0B,(B)
0C,(C)
0D,(D)
0E,(E)
0F,(F)
10,(プレイヤー)
11,(性別)
12,(ちゃん/くん)
REM,13h ... VOICE, VoiceID, CharactorID
13,[SEQ]

REM, 文字列変数, FF FF FFで終端？
14,[SEQ]
14FF,[SEQ]
14FFFF,[SEQ]
14FFFFFF,(文字列)

REM,以下のＣＭＤはFF FFで終端っぽい？
REM,15は引数の3バイトがlengthで、それに応じて後続の長さが変わるっぽい
15,[CMD_W3]不明０
REM,16, 17は引数サイズが4で固定っぽい
16,[CMD_W4]分岐０
17,[CMD_W4]不明２

18,[CMD_W2]選択
19,(変数1)
1A,(1A)
1B,(1B)
1C,(1C)
1D,[\n]
1E,[PRESS A]
1F,[NULL]
20,　
21,A
22,B
23,C
24,D
25,E
26,F
27,G
28,H
29,I
2A,J
2B,K
2C,L
2D,M
2E,N
2F,O
30,P
31,Q
32,R
33,S
34,T
35,U
36,V
37,W
38,X
39,Y
3A,Z
3B,a
3C,b
3D,c
3E,d
3F,e
40,f
41,g
42,h
43,i
44,j
45,k
46,l
47,m
48,n
49,o
4A,p
4B,q
4C,r
4D,s
4E,t
4F,u
50,v
51,w
52,x
53,y
54,z
55,[SP]
56,0
57,1
58,2
59,3
5A,4
5B,5
5C,6
5D,7
5E,8
5F,9
60,ぁ
61,あ
62,ぃ
63,い
64,ぅ
65,う
66,ぇ
67,え
68,ぉ
69,お
6A,か
6B,が
6C,き
6D,ぎ
6E,く
6F,ぐ
70,け
71,げ
72,こ
73,ご
74,さ
75,ざ
76,し
77,じ
78,す
79,ず
7A,せ
7B,ぜ
7C,そ
7D,ぞ
7E,た
7F,だ
80,ち
81,ぢ
82,っ
83,つ
84,づ
85,て
86,で
87,と
88,ど
89,な
8A,に
8B,ぬ
8C,ね
8D,の
8E,は
8F,ば
90,ぱ
91,ひ
92,び
93,ぴ
94,ふ
95,ぶ
96,ぷ
97,へ
98,べ
99,ぺ
9A,ほ
9B,ぼ
9C,ぽ
9D,ま
9E,み
9F,む
A0,め
A1,も
A2,ゃ
A3,や
A4,ゅ
A5,ゆ
A6,ょ
A7,よ
A8,ら
A9,り
AA,る
AB,れ
AC,ろ
AD,わ
AE,を
AF,ん
B0,ァ
B1,ア
B2,ィ
B3,イ
B4,ゥ
B5,ウ
B6,ェ
B7,エ
B8,ォ
B9,オ
BA,カ
BB,ガ
BC,キ
BD,ギ
BE,ク
BF,グ
C0,ケ
C1,ゲ
C2,コ
C3,ゴ
C4,サ
C5,ザ
C6,シ
C7,ジ
C8,ス
C9,ズ
CA,セ
CB,ゼ
CC,ソ
CD,ゾ
CE,タ
CF,ダ
D0,チ
D1,ヂ
D2,ッ
D3,ツ
D4,ヅ
D5,テ
D6,デ
D7,ト
D8,ド
D9,ナ
DA,ニ
DB,ヌ
DC,ネ
DD,ノ
DE,ハ
DF,バ
E0,パ
E1,ヒ
E2,ビ
E3,ピ
E4,フ
E5,ブ
E6,プ
E7,ヘ
E8,ベ
E9,ペ
EA,ホ
EB,ボ
EC,ポ
ED,マ
EE,ミ
EF,ム
F0,メ
F1,モ
F2,ャ
F3,ヤ
F4,ュ
F5,ユ
F6,ョ
F7,ヨ
F8,ラ
F9,リ
FA,ル
FB,レ
FC,ロ
FD,ワ
FE,ヲ
FF,ン
F0000,
0100,ゐ
0101,ゑ
0102,ヰ
0103,ヱ
0104,?
0105,ヴ
0106,ゎ
0107,ゃ
0108,ヶ
0109,っ
010A,々
010B,ー
010C,！
010D,？
010E,、
010F,。
0110,・
0111,…
0112,.
0113,，
0114,：
0115,；
0116,゛
0117,゜
0118,（
0119,）
011A,「
011B,」
011C,『
011D,』
011E,～
011F,ー
0120,!!
0121, !?
0122,??
0123,《
0124,＝
0125,《
0126,+
0127,-
0128,±
0129,/
012A,＊
012B,[
012C,○
012D,△
012E,□
012F,×
0130,★
0131,♥
0132,♪
0133,→
0134,←
0135,　 
0136,～
0137,～
0138,}
0139,゛
013A,　
013B,＆
013C,■13c
013D,■13d
013E,■13e
013F,■13f
0140,一
0141,二
0142,三
0143,四
0144,五
0145,六
0146,七
0147,八
0148,九
0149,十
014A,百
014B,千
014C,万
014D,■14d
014E,■14e
014F,■14f
REM,ここの数字は半幅
0150,0
0151,一
0152,二
0153,二
0154,二
0155,五
0156,六
0157,七
0158,八
0159,九
015A,十
015B,百
015C,千
015D,万
015E,[015E]
015F,[015F]
0160,[0160]
0161,[0161]
0162,[0162]
0163,[0163]
0164,[0164]
0165,[0165]
0166,[0166]
0167,[0167]
0168,[0168]
0169,[0169]
016A,[016A]
016B,[016B]
016C,[016C]
016D,[016D]
016E,[016E]
016F,[016F]
0170,[0170]
0171,[0171]
0172,[0172]
0173,[0173]
0174,[0174]
0175,[0175]
0176,[0176]
0177,[0177]
0178,[0178]
0179,[0179]
017A,[017A]
017B,[017B]
017C,[017C]
017D,[017D]
017E,[017E]
017F,[017F]
0180,[0180]
0181,[0181]
0182,[0182]
0183,[0183]
0184,[0184]
0185,[0185]
0186,[0186]
0187,[0187]
0188,[0188]
0189,[0189]
018A,[018A]
018B,[018B]
018C,[018C]
018D,[018D]
018E,[018E]
018F,[018F]
0190,[0190]
0191,[0191]
0192,[0192]
0193,[0193]
0194,[0194]
0195,[0195]
0196,[0196]
0197,[0197]
0198,[0198]
0199,[0199]
019A,[019A]
019B,[019B]
019C,[019C]
019D,[019D]
019E,[019E]
019F,[019F]
01A0,[01A0]
01A1,[01A1]
01A2,[01A2]
01A3,[01A3]
01A4,[01A4]
01A5,[01A5]
01A6,[01A6]
01A7,[01A7]
01A8,[01A8]
01A9,[01A9]
01AA,[01AA]
01AB,[01AB]
01AC,[01AC]
01AD,[01AD]
01AE,[01AE]
01AF,[01AF]
01B0,[01B0]
01B1,[01B1]
01B2,[01B2]
01B3,[01B3]
01B4,[01B4]
01B5,[01B5]
01B6,[01B6]
01B7,[01B7]
01B8,[01B8]
01B9,[01B9]
01BA,[01BA]
01BB,[01BB]
01BC,[01BC]
01BD,[01BD]
01BE,[01BE]
01BF,[01BF]
01C0,[01C0]
01C1,[01C1]
01C2,[01C2]
01C3,[01C3]
01C4,[01C4]
01C5,[01C5]
01C6,[01C6]
01C7,[01C7]
01C8,[01C8]
01C9,[01C9]
01CA,[01CA]
01CB,[01CB]
01CC,[01CC]
01CD,[01CD]
01CE,[01CE]
01CF,[01CF]
01D0,[01D0]
01D1,[01D1]
01D2,[01D2]
01D3,[01D3]
01D4,[01D4]
01D5,[01D5]
01D6,[01D6]
01D7,[01D7]
01D8,[01D8]
01D9,[01D9]
01DA,[01DA]
01DB,[01DB]
01DC,[01DC]
01DD,[01DD]
01DE,[01DE]
01DF,[01DF]
01E0,[01E0]
01E1,[01E1]
01E2,[01E2]
01E3,[01E3]
01E4,[01E4]
01E5,[01E5]
01E6,[01E6]
01E7,[01E7]
01E8,[01E8]
01E9,[01E9]
01EA,[01EA]
01EB,[01EB]
01EC,[01EC]
01ED,[01ED]
01EE,[01EE]
01EF,[01EF]
01F0,[01F0]
01F1,[01F1]
01F2,[01F2]
01F3,[01F3]
01F4,[01F4]
01F5,[01F5]
01F6,[01F6]
01F7,[01F7]
01F8,[01F8]
01F9,[01F9]
01FA,[01FA]
01FB,[01FB]
01FC,[01FC]
01FD,[01FD]
01FE,[01FE]
01FF,[01FF]
0200,位
0201,違
0202,印
0203,右
0204,炎
0205,火
0206,花
0207,回
0208,間
0209,脚
020A,空
020B,血
020C,玄
020D,紅
020E,号
020F,札
0210,参
0211,射
0212,収
0213,蹴
0214,信
0215,振
0216,刃
0217,清
0218,施
0219,全
021A,早
021B,束
021C,足
021D,袋
021E,弾
021F,爪
0220,刀
0221,動
0222,毒
0223,波
0224,発
0225,飛
0226,武
0227,部
0228,封
0229,放
022A,方
022B,砲
022C,矢
022D,枷
022E,榴
022F,果
0230,牙
0231,蛾
0232,楽
0233,丸
0234,桔
0235,逆
0236,結
0237,犬
0238,瑚
0239,梗
023A,鋼
023B,叉
023C,殺
023D,珊
023E,神
023F,人
0240,翠
0241,生
0242,椿
0243,天
0244,桃
0245,奈
0246,日
0247,髪
0248,暮
0249,宝
024A,満
024B,無
024C,名
024D,夜
024E,弥
024F,羅
0250,落
0251,翡
0252,勒
0253,移
0254,運
0255,壊
0256,怪
0257,管
0258,鑑
0259,顔
025A,基
025B,具
025C,経
025D,撃
025E,件
025F,験
0260,庫
0261,御
0262,語
0263,幸
0264,攻
0265,魂
0266,作
0267,次
0268,重
0269,勝
026A,常
026B,情
026C,条
026D,図
026E,数
026F,設
0270,戦
0271,村
0272,断
0273,値
0274,中
0275,通
0276,定
0277,的
0278,闘
0279,道
027A,徳
027B,能
027C,敗
027D,番
027E,表
027F,秒
0280,不
0281,保
0282,歩
0283,防
0284,北
0285,本
0286,命
0287,目
0288,妖
0289,用
028A,要
028B,利
028C,率
028D,力
028E,止
028F,悪
0290,汚
0291,会
0292,解
0293,開
0294,業
0295,穴
0296,見
0297,言
0298,誤
0299,行
029A,砕
029B,昨
029C,散
029D,師
029E,思
029F,視
02A0,自
02A1,女
02A2,傷
02A3,線
02A4,段
02A5,昼
02A6,鉄
02A7,得
02A8,破
02A9,爆
02AA,普
02AB,風
02AC,法
02AD,又
02AE,妙
02AF,様
02B0,流
02B1,冷
02B2,覚
02B3,悟
02B4,今
02B5,赦
02B6,弱
02B7,手
02B8,痩
02B9,相
02BA,油
02BB,容
02BC,狼
02BD,以
02BE,引
02BF,雨
02C0,加
02C1,強
02C2,軽
02C3,決
02C4,減
02C5,乞
02C6,口
02C7,降
02C8,少
02C9,上
02CA,然
02CB,組
02CC,息
02CD,待
02CE,知
02CF,着
02D0,張
02D1,度
02D2,当
02D3,匂
02D4,負
02D5,辺
02D6,忙
02D7,野
02D8,預
02D9,理
02DA,郎
02DB,許
02DC,持
02DD,丈
02DE,切
02DF,絶
02E0,操
02E1,対
02E2,大
02E3,逃
02E4,抜
02E5,夫
02E6,我
02E7,確
02E8,願
02E9,気
02EA,詰
02EB,黒
02EC,骨
02ED,私
02EE,慈
02EF,邪
02F0,就
02F1,終
02F2,心
02F3,申
02F4,進
02F5,成
02F6,争
02F7,族
02F8,打
02F9,題
02FA,追
02FB,難
02FC,悲
02FD,伏
02FE,払
02FF,仏
0300,訳
0301,巫
0302,屋
0303,過
0304,仇
0305,向
0306,治
0307,取
0308,出
0309,正
030A,退
030B,置
030C,討
030D,任
030E,戻
030F,意
0310,恐
0311,子
0312,調
0313,父
0314,来
0315,応
0316,荒
0317,合
0318,恨
0319,仔
031A,似
031B,主
031C,晴
031D,地
031E,仲
031F,片
0320,坊
0321,哀
0322,何
0323,帰
0324,貴
0325,鬼
0326,愚
0327,在
0328,死
0329,歯
032A,首
032B,身
032C,衰
032D,世
032E,前
032F,駄
0330,蜘
0331,伝
0332,倒
0333,同
0334,分
0335,立
0336,腕
0337,傀
0338,儡
0339,蛛
033A,遠
033B,際
033C,時
033D,者
033E,只
033F,程
0340,敵
0341,渡
0342,導
0343,拝
0344,背
0345,半
0346,費
0347,娘
0348,虜
0349,愛
034A,刻
034B,事
034C,助
034D,他
034E,物
034F,柄
0350,玉
0351,体
0352,入
0353,返
0354,礼
0355,固
0356,小
0357,食
0358,仙
0359,僧
035A,痛
035B,腹
035C,形
035D,姑
035E,姿
035F,呪
0360,術
0361,占
0362,専
0363,多
0364,奪
0365,忘
0366,門
0367,詛
0368,皮
0369,帽
036A,毛
036B,遊
036C,化
036D,盗
036E,現
036F,華
0370,霞
0371,撹
0372,錫
0373,杖
0374,拌
0375,休
0376,烏
0377,影
0378,猿
0379,王
037A,蝦
037B,餓
037C,干
037D,奇
037E,窮
037F,牛
0380,凶
0381,極
0382,銀
0383,熊
0384,獄
0385,最
0386,山
0387,屍
0388,蛇
0389,獣
038A,親
038B,睡
038C,双
038D,鳥
038E,陶
038F,頭
0390,肉
0391,蛮
0392,舞
0393,霧
0394,面
0395,猛
0396,裏
0397,輪
0398,煉
0399,路
039A,臈
039B,蝠
039C,螂
039D,螳
039E,蜝
039F,蟇
03A0,鵺
03A1,使
03A2,受
03A3,頼
03A4,聞
03A5,困
03A6,個
03A7,昇
03A8,茶
03A9,功
03AA,失
03AB,走
03AC,観
03AD,斬
03AE,念
03AF,優
03B0,字
03B1,変
03B2,元
03B3,遅
03B4,熱
03B5,焼
03B6,草
03B7,団
03B8,餅
03B9,卵
03BA,饅
03BB,握
03BC,飯
03BD,文
03BE,客
03BF,毎
03C0,金
03C1,所
03C2,疾
03C3,速
03C4,檻
03C5,越
03C6,簡
03C7,急
03C8,救
03C9,好
03CA,先
03CB,誰
03CC,単
03CD,長
03CE,殿
03CF,湯
03D0,話
03D1,憑
03D2,男
03D3,欲
03D4,消
03D5,城
03D6,精
03D7,杯
03D8,姫
03D9,役
03DA,露
03DB,却
03DC,界
03DD,嬉
03DE,近
03DF,嫌
03E0,込
03E1,試
03E2,借
03E3,緒
03E4,承
03E5,場
03E6,勢
03E7,妬
03E8,配
03E9,疲
03EA,別
03EB,裕
03EC,余
03ED,両
03EE,避
03EF,考
03F0,国
03F1,吹
03F2,必
03F3,泡
03F4,由
03F5,廃
03F6,墟
03F7,珍
03F8,商
03F9,旅
03FA,市
03FB,探
03FC,買
03FD,売
03FE,起
03FF,突
0400,異
0401,衣
0402,員
0403,羽
0404,煙
0405,塩
0406,下
0407,廻
0408,海
0409,灰
040A,外
040B,害
040C,感
040D,寄
040E,忌
040F,紀
0410,記
0411,吸
0412,旧
0413,偶
0414,賢
0415,呼
0416,後
0417,効
0418,勾
0419,孔
041A,再
041B,才
041C,薩
041D,指
041E,殊
041F,珠
0420,拾
0421,集
0422,除
0423,晶
0424,迅
0425,水
0426,雀
0427,制
0428,製
0429,昔
042A,石
042B,染
042C,選
042D,像
042E,蔵
042F,代
0430,択
0431,転
0432,判
0433,複
0434,弁
0435,補
0436,菩
0437,妨
0438,魔
0439,明
043A,迷
043B,木
043C,友
043D,略
043E,霊
043F,罠
0440,韋
0441,了
